,weight,bias,learning rate,accuracy
6471,[[0.50525025 8.14210919]],[[3.03791186]],5.646890240511631,83
6472,[[7.55059469 9.45460118]],[[1.28066571]],0.7623768436959766,83
6393,[[9.32520522 9.46499151]],[[5.54491606]],3.383658346580379,83
6473,[[2.76306974 4.22895189]],[[9.83732121]],0.12804313574797832,83
6390,[[8.85164013 7.18309672]],[[7.75532415]],4.977117999145529,83
6469,[[4.12283669 9.14161152]],[[5.05901873]],0.687094058187887,83
6422,[[9.41839087 2.07400919]],[[1.53478052]],4.9873108318957495,83
6395,[[2.81790831 5.468228  ]],[[9.02679691]],1.5407792996714587,83
6396,[[2.06657903 5.93082319]],[[5.579458]],6.716390105754291,83
6397,[[1.1893185  3.41846746]],[[7.03864838]],4.033707931553719,83
6474,[[7.42127461 1.05566743]],[[0.86449081]],8.23381291366431,83
6398,[[6.65438153 4.8448355 ]],[[5.22330976]],8.215573188088129,83
6468,[[9.51787014 7.31749075]],[[5.52378973]],4.1089463578438545,83
6467,[[2.13126045 8.16465475]],[[7.84180644]],4.661565243905832,83
6466,[[9.12512199 6.68310608]],[[0.45702885]],7.566502986714042,83
6399,[[4.97770841 6.15004722]],[[5.276682]],2.7370982870162095,83
6465,[[0.44151486 6.59264606]],[[4.15854459]],6.2114071826915795,83
6463,[[3.77454198 7.44776924]],[[0.95685817]],6.714769423877605,83
6400,[[3.81040647 0.55241778]],[[8.0634935]],4.517699756507769,83
6389,[[5.43797339 3.81183074]],[[3.03582935]],4.4334206769891935,83
6387,[[2.4625741  3.86036385]],[[1.5679774]],0.4240085426837159,83
6475,[[8.04216019 8.73663574]],[[4.34152543]],1.660419963092069,83
