,weight 1,weight 2,bias1,bias2,learning rate,accuracy
8706,[[-8.52030399  2.27434796]],[[-8.61647441]],[[9.69994268]],[[-0.75520076]],5.1228366224097,84
7102,[[ 0.55618296 -4.59769571]],[[-1.8724542]],[[-4.08549494]],[[-5.15676538]],0.5912391495790614,84
2689,[[-9.00360153 -5.28119956]],[[-8.36076805]],[[8.91409037]],[[-0.62845308]],0.3634675111172958,84
2600,[[ 0.55605528 -9.61323639]],[[-2.61435725]],[[-2.23834266]],[[-3.58815692]],1.3439364145982524,84
3368,[[-9.03339672  4.72391802]],[[-8.14086068]],[[4.98282096]],[[-0.80235034]],0.7475708065771858,84
9645,[[-9.23281638 -6.99740132]],[[-4.94361749]],[[7.97796961]],[[-7.20717586]],9.235475627177525,84
3304,[[-6.36739631 -8.35688737]],[[-9.1607928]],[[7.1361653]],[[-2.45385921]],6.307358058029911,84
9724,[[ 6.65023601 -6.14317007]],[[-4.44891359]],[[-7.47656753]],[[-2.62194355]],0.27217085470747415,84
6972,[[-6.44638637  6.70582279]],[[-9.5105663]],[[-8.40543796]],[[-4.85123119]],2.177774615073622,84
7598,[[0.99137306 8.25388228]],[[-5.58043163]],[[-4.99202267]],[[-6.3468561]],3.748367601956928,84
5307,[[-6.34973349  4.65254597]],[[-7.77595878]],[[9.19211682]],[[-0.57296156]],1.3330773860638179,84
6673,[[ 0.06977011 -1.47299028]],[[5.21175815]],[[-2.95846703]],[[-4.95023924]],2.8325436799719608,84
243,[[-7.38291039 -5.03822854]],[[8.96103388]],[[-9.10431589]],[[-5.56728016]],1.2475092519755837,84
894,[[4.53343446 8.31984556]],[[-4.99741567]],[[0.1462416]],[[4.55151651]],6.491197301008922,84
473,[[-9.89264327 -6.17766767]],[[-8.8542961]],[[-2.20261511]],[[-1.70536133]],0.6973258944432392,84
5693,[[-9.36828921  5.24654744]],[[-8.89590282]],[[-2.25222531]],[[0.57032205]],2.303231337818424,84
1620,[[7.1115273  8.89188008]],[[-7.72701521]],[[-4.41059726]],[[-2.84339356]],5.835163463928264,84
9721,[[-0.39424598  6.78925957]],[[-1.37320595]],[[-0.89507203]],[[-6.63554458]],5.084021494676561,84
5573,[[3.88534366 2.91062214]],[[-6.01125942]],[[-5.88650618]],[[-3.45935107]],2.2254515255441554,84
3860,[[0.20899598 3.16265727]],[[-2.61937203]],[[-4.25764831]],[[2.29600376]],4.597391691027778,84
868,[[-8.12574229 -5.01897107]],[[-8.1404558]],[[3.64997504]],[[-2.66584124]],7.810349801731942,84
8051,[[-0.03074821  0.7800978 ]],[[-7.89700754]],[[-2.42532029]],[[9.38831341]],9.267023043591308,84
5640,[[1.53829236 4.6275573 ]],[[-8.94669469]],[[-9.20604029]],[[-8.10182567]],3.770033086811748,84
